Relation1, Relation2, Product
"B","B","B"
"B","BI","B BI D DI E F FI M MI O OI S SI"
"B","D","B D M O S"
"B","DI","B"
"B","E","B"
"B","F","B D M O S"
"B","FI","B"
"B","M","B"
"B","MI","B D M O S"
"B","O","B"
"B","OI","B D M O S"
"B","S","B"
"B","SI","B"
"BI","B","B BI D DI E F FI M MI O OI S SI"
"BI","BI","BI"
"BI","D","BI D F MI OI"
"BI","DI","BI"
"BI","E","BI"
"BI","F","BI"
"BI","FI","BI"
"BI","M","BI D F MI OI"
"BI","MI","BI"
"BI","O","BI D F MI OI"
"BI","OI","BI"
"BI","S","BI D F MI OI"
"BI","SI","BI"
"D","B","B"
"D","BI","BI"
"D","D","D"
"D","DI","B BI D DI E F FI M MI O OI S SI"
"D","E","D"
"D","F","D"
"D","FI","B D M O S"
"D","M","B"
"D","MI","BI"
"D","O","B D M O S"
"D","OI","BI D F MI OI"
"D","S","D"
"D","SI","BI D F MI OI"
"DI","B","B DI FI M O"
"DI","BI","BI DI MI OI SI"
"DI","D","D DI E F FI O OI S SI"
"DI","DI","DI"
"DI","E","DI"
"DI","F","DI OI SI"
"DI","FI","DI"
"DI","M","DI FI O"
"DI","MI","DI OI SI"
"DI","O","DI FI O"
"DI","OI","DI OI SI"
"DI","S","DI FI O"
"DI","SI","DI"
"E","B","B"
"E","BI","BI"
"E","D","D"
"E","DI","DI"
"E","E","E"
"E","F","F"
"E","FI","FI"
"E","M","M"
"E","MI","MI"
"E","O","O"
"E","OI","OI"
"E","S","S"
"E","SI","SI"
"F","B","B"
"F","BI","BI"
"F","D","D"
"F","DI","BI DI MI OI SI"
"F","E","F"
"F","F","F"
"F","FI","E F FI"
"F","M","M"
"F","MI","BI"
"F","O","D O S"
"F","OI","BI MI OI"
"F","S","D"
"F","SI","BI MI OI"
"FI","B","B"
"FI","BI","BI DI MI OI SI"
"FI","D","D O S"
"FI","DI","DI"
"FI","E","FI"
"FI","F","E F FI"
"FI","FI","FI"
"FI","M","M"
"FI","MI","DI OI SI"
"FI","O","O"
"FI","OI","DI OI SI"
"FI","S","O"
"FI","SI","DI"
"M","B","B"
"M","BI","BI DI MI OI SI"
"M","D","D O S"
"M","DI","B"
"M","E","M"
"M","F","D O S"
"M","FI","B"
"M","M","B"
"M","MI","E F FI"
"M","O","B"
"M","OI","D O S"
"M","S","M"
"M","SI","M"
"MI","B","B DI FI M O"
"MI","BI","BI"
"MI","D","D F OI"
"MI","DI","BI"
"MI","E","MI"
"MI","F","MI"
"MI","FI","MI"
"MI","M","E S SI"
"MI","MI","BI"
"MI","O","D F OI"
"MI","OI","BI"
"MI","S","D F OI"
"MI","SI","BI"
"O","B","B"
"O","BI","BI DI MI OI SI"
"O","D","D O S"
"O","DI","B DI FI M O"
"O","E","O"
"O","F","D O S"
"O","FI","B M O"
"O","M","B"
"O","MI","DI OI SI"
"O","O","B M O"
"O","OI","D DI E F FI O OI S SI"
"O","S","O"
"O","SI","DI FI O"
"OI","B","B DI FI M O"
"OI","BI","BI"
"OI","D","D F OI"
"OI","DI","BI DI MI OI SI"
"OI","E","OI"
"OI","F","OI"
"OI","FI","DI OI SI"
"OI","M","DI FI O"
"OI","MI","BI"
"OI","O","D DI E F FI O OI S SI"
"OI","OI","BI MI OI"
"OI","S","D F OI"
"OI","SI","BI MI OI"
"S","B","B"
"S","BI","BI"
"S","D","D"
"S","DI","B DI FI M O"
"S","E","S"
"S","F","D"
"S","FI","B M O"
"S","M","B"
"S","MI","MI"
"S","O","B M O"
"S","OI","D F OI"
"S","S","S"
"S","SI","E S SI"
"SI","B","B DI FI M O"
"SI","BI","BI"
"SI","D","D F OI"
"SI","DI","DI"
"SI","E","SI"
"SI","F","OI"
"SI","FI","DI"
"SI","M","DI FI O"
"SI","MI","MI"
"SI","O","DI FI O"
"SI","OI","OI"
"SI","S","E S SI"
"SI","SI","SI"
